1,조선시대에 '갑비고차'라고 불리던 지역은 어디일까요?,강화도,울릉도,강화도,제주도,안면도
2,우리나라의 무형 문화재 제1호는 무엇일까요?,종묘제례악,판소리,강강술래,강릉단오제,종묘제례악
3,현대의 대기 환경문제 중 오존층 파괴를 대처하기 위해 1989년에 발효된 오존층 파괴물질의 규제에 관한 이 국제협약은?,몬트리올 의정서,시온 장로 의정서,교토 의정서,기후변화협약,몬트리올 의정서
4,'OECD' 국제 기구의 한글 명칭은 무엇일까요?,경제협력개발기구,경제정책위원회,국제통화기금,금융시장위원회,경제협력개발기구
5,'회자되다'에서 '회'는 무슨 뜻일까요?,날고기,다시,생각,날고기,비밀
6,"유토피아의 반대어로, 가장 부정적인 암흑세계의 픽션을 그려냄으로써 현실을 비판하는 사상을 가리키는 용어는 무엇일까요?",디스토피아,토폴로지,디토피아,디스토피아,뉴토피아
7,"'청포도', '광야', '절정'을 지은 작가. 일제강점기에 활동한 시인으로 식민지의 슬픔과 민족정신을 작품을 통해 표현했던 작가는?",이육사,윤동주,신채호,이육사,채만식
8,"오늘날의 대통령 비서실과 유사한 역할을 하며, 조선 시대, 임금의 비서 업무를 수행하던 기관의 이름은?",승정원,의금부,승정원,사간원,홍문관
9,"국내 기술로 개발한 3단 액체 로켓 중 하나로, 국내 독자 기술로 개발한 최초의 한국형 발사체는?",누리호,우리호,누리호,나로호,KSR
10,세계 최초로 여성 대통령을 배출한 나라는 어느 나라인가요?,아르헨티나,우크라이나,영국,폴란드,아르헨티나
11,"'현장에서 일하는 노동자'를 의미하는 시사용어로, '샐러리맨이나 사무직 노동자'를 뜻하는 화이트칼라와 대응되는 이 표현은?",블루칼라,블랙칼라,레드칼라,블루칼라,그린칼라
12,(   ) 현상이란 적도 부근의 해수면 온도가 상승하는 현상을 말한다. 괄호에 들어갈 말은?,엘니뇨,라니냐,바이오다이버시티 감소,엘니뇨,이산화탄소 농도 상승
13,셰익스피어의 4대 비극에 해당하지 않는 것은 무엇일까요?,죽은 시인의 사회,리어왕,오셀로,맥베스,죽은 시인의 사회
14,"바다 위 또는 공중에서의 긴 거리를 나타낼 때 쓰는 단위로 나라마다 약간의 차이는 있지만 보통 1,853km입니다. 이 단위는?",해리,노트,해리,마일,야드
15,"고려, 조선시대 5품 이상의 관리의 자녀 중에서 과거 시험을 보지 않고 관리로 등용되는 제도를 무엇이라 할까요?",음서제,양전제,효헌세,음서제,품혈제
16,"가격이 오르는데도 일부 계층의 과시욕으로 수요가 증가하는 효과로, 상류층 소비자들의 소비 형태를 나타내는 이 단어는?",베블렌 효과,백로효과,베블렌 효과,스놉 효과,파노플리 효과
17,"다음 초기 자료에 대하여 삽입 정렬을 이용하여 오름차순 정렬할 경우 1회전 후의 결과는? < 8, 3, 4, 9, 7 >","3, 8, 4, 9, 7","3, 4, 8, 7, 9","3, 4, 9, 7, 8","7, 8, 3, 4, 9","3, 8, 4, 9, 7"
18,"동시에 프로그램을 수행할 수 있는 프로세서를 2개 이상 두고, 각각 그 업무를 분담하여 처리할 수 있는 운영체제 운영 방법은?",Muti-processing System,Muti-processing System,Time Sharing System,Real Time System,Multi-programming System
19,데이터베이스 트랜잭션의 속성(ACID)에 해당하지 않는 것은?,Availability,Availability,Consistency,Isolation,Durability
20,온조가 처음 백제를 세웠던 지역은?,한강 유역,철원 평야,한강 유역,압록강 유역,대동강 유역
21,계백 장군이 신라에 맞서 최후의 결전을 벌였던 전투는?,황산벌 전투,기벌포 전투,안시성 전투,황산벌 전투,살수 대첩
22,'시무 28조'를 성종에게 올리며 유교적 통치 이념에 따른 제도 정비에 이바지한 사람은?,최승로,최무선,최승로,최치원,문익점
23,오늘날과 같은 배추 김치는 언제부터 먹었을까요?,조선시대,고려시대,삼국시대,조선시대,통일신라시대
24,황제의 승인을 받지 않은 을사조약의 부당함을 알리고 을사오적 친일파들을 규탄한 '시일야방성대곡'을 게재했던 신문사는?,황성신문,동아일보,독립신문,한성순보,황성신문
25,의병장 중에서 평민 출신으로 '태백산 호랑이'라는 별명으로 불리면서 일본인들에게 두려움을 준 사람은?,신돌석,최익현,신돌석,민영환,임꺽정
26,1919년 일제가 한 마을 사람들을 모두 교회에 모아 놓고 불을 질러 죽게 했던 사건은?,제암리 학살,제주 4.3 사건,제암리 학살,노근리 학살,관동 대학살
27,외세의 침입으로부터 나라를 지키기 위해 근대적인 무기를 가지고 새로운 훈련을 받는 군대를 1881년 조직한 군대의 이름은?,별기군,별기군,의병,훈련도감,광혜원
28,고려 공민왕을 대신해 귀족들에 맞서 적극적인 개혁 정책을 실시한 사람은?,신돈,이차돈,신돈,김부식,지눌
29,"1907년 대구에서 시작된 민족 운동으로 제국황성 신문, 만세보 등 언론 기관들의 지원을 받은 운동은?",국채보상운동,국채보상운동,독립협회,애국계몽운동,신간회
30,고구려에서 봄에 곡식을 빌려주었다가 가을에 갚도록 한 제도는?,진대법,과전법,진대법,직전법,관수관급제
